review_url,coffee_name,total_score,roaster_location,coffee_origin,roast_level,agtron,est._price
https://www.coffeereview.com/review/colombia-finca-campo-hermosa/,Colombia Finca Campo Hermosa,94,"Cleveland, Tennessee","Quindio Department, Colombia",Light,62/82,$29.99/8 ounces
https://www.coffeereview.com/review/colombia-finca-la-sirena-mango-co-ferment/,Colombia Finca La Sirena Mango Co-Ferment,94,"Cleveland, Tennessee","Quindio Department, Colombia",Light,63/87,$22.99/8 ounces
https://www.coffeereview.com/review/in-bloom/,In Bloom,94,"Jersey City, New Jersey",Colombia; Ethiopia,Light,64/88,$25.00/250 grams
https://www.coffeereview.com/review/ethiopia-washed-kaffa-gimbo-lot-rich-espresso/,Ethiopia Washed Kaffa Gimbo Lot Rich Espresso,96,"Chia-Yi, Taiwan","Gimbo, Kaffa Province, Ethiopia",Medium-Light,55/77,NT $250/8 ounces
https://www.coffeereview.com/review/ethiopia-natural-gute-bona/,Ethiopia Natural Gute Bona,95,"Chia-Yi, Taiwan","Sidamo growing region, southern Ethiopia",Medium-Light,62/78,NT $400/8 ounces
https://www.coffeereview.com/review/white-geisha-blend-espresso/,White Geisha Blend Espresso,95,"Taichung, Taiwan",Panama; Ethiopia,Medium-Light,60/78,$39.00/8 ounces
https://www.coffeereview.com/review/yunlin-natural-geisha-cpag-1/,Yunlin Natural Geisha CPAG-1,95,"Yunlin, Taiwan","Yunlin, Taiwan",Medium-Light,60/78,NT $800/4 ounces
https://www.coffeereview.com/review/colombia-natural-huila-eulises-guzman/,Colombia Natural Huila Eulises Guzman,94,"Chia-Yi, Taiwan","Huila Department, Colombia",Medium-Light,60/80,NT $350/8 ounces
https://www.coffeereview.com/review/peru-washed-cusco-buena-vista-soola-sl09/,Peru Washed Cusco Buena Vista Soola SL09,94,"Chia-Yi, Taiwan","Cusco, Peru",Medium-Light,58/77,NT $300/4 ounces
https://www.coffeereview.com/review/yunlin-natural-geisha/,Yunlin Natural Geisha,94,"Yunlin, Taiwan","Yunlin, Taiwan",Light,60/84,NT $600/4 ounces
https://www.coffeereview.com/review/hechi/,Hechi,94,"Taipei, Taiwan","Sidamo growing region, southern Ethiopia",Light,60/86,NT $330/8 ounces
https://www.coffeereview.com/review/las-margaritas-sudan-rume/,Las Margaritas Sudan Rume,95,"Madison, Wisconsin","Caicendonia, Valle Del Cauca, Cauca Department, Colombia",Light,60/84,$27.00/8 ounces
https://www.coffeereview.com/review/wilton-benitez-geisha-3/,Wilton Benitez Geisha,95,"Madison, Wisconsin","Piendamo, Cauca Department, Colombia",Light,62/84,$26.00/8 ounces
https://www.coffeereview.com/review/itumpi-tanzania/,Itumpi Tanzania,94,"Madison, Wisconsin","Mbozi District, Songwe Region, Tanzania",Medium-Light,59/81,$22.00/12 ounces
https://www.coffeereview.com/review/ethiopia-yirgacheffe-g1-gotiti-angel-station-geisha-washed/,Ethiopia Yirgacheffe G1 Gotiti Angel Station Geisha Washed,94,"Yilan, Taiwan","Gedeb District, Gedeo Zone, southern Ethiopia",Light,62/82,NT $550/200 grams
https://www.coffeereview.com/review/ethiopia-guji-hambela-buku-abel-bastet-geisha-washed/,Ethiopia Guji Hambela Buku Abel Bastet Geisha Washed,94,"Yilan, Taiwan","Guji Zone, Oromia Region, Southern Ethiopia",Light,63/85,NT $550/200 grams
https://www.coffeereview.com/review/finca-cruz-loma-ecuador-geisha/,Finca Cruz Loma Ecuador Geisha,96,"Madison, Wisconsin","San José de Minas, Pichincha Province, Ecuador",Medium-Light,60/77,$32.00/8 ounces
https://www.coffeereview.com/review/costa-rica-finca-el-canal/,Costa Rica Finca El Cañal,95,"Charlotte, North Carolina","Alajuela, Central Valley, Costa Rica",Light,60/88,$30.00/12 ounces
https://www.coffeereview.com/review/hambela-dabaye-ethiopia/,Hambela Dabaye Ethiopia,95,"Madison, Wisconsin","Guji growing region, south-central Ethiopia",Light,65/87,$24.00/8 ounces
https://www.coffeereview.com/review/brazil-vinhal-grape-starfruit/,Brazil Vinhal Grape Starfruit,94,"Peoria, Illinois","Cerrado Mineiro, Minas Gerais, Brazil",Medium-Light,59/77,$21.00/12 ounces
https://www.coffeereview.com/review/duwancho-natural-ethiopia/,Duwancho Natural Ethiopia,94,"Madison, Wisconsin","Sidamo growing region, southern Ethiopia",Light,61/82,$28.00/12 ounces
